Label,Info,variable,ID,strain,media,biorep,techrep
,,Blank,,,,,
,,1,101,blank,CM_uracil,,
,,2,102,blank,CM_uracil,,
,,3,103,blank,CM_uracil,,
,,4,104,blank,CM_uracil,,
,,5,105,blank,CM_uracil,,
,,6,106,blank,CM_uracil,,
,,7,107,blank,CM_uracil,,
,,8,108,blank,CM_uracil,,
,,9,109,blank,CM_uracil,,
,,10,110,blank,CM_uracil,,
,,11,111,blank,CM_uracil,,
,,12,112,ura3,CM_uracil,A,1
,,13,113,ura3,CM_uracil,A,2
,,14,114,ura3,CM_uracil,A,3
,,15,115,aglB,CM_uracil,A,1
,,16,116,aglB,CM_uracil,A,2
,,17,117,aglB,CM_uracil,A,3
,,18,118,ura3,5M_CM_uracil,A,1
,,19,119,ura3,5M_CM_uracil,A,2
,,20,120,blank,CM_uracil,,
,,21,121,blank,CM_uracil,,
,,22,122,ura3,5M_CM_uracil,A,3
,,23,123,aglB,5M_CM_uracil,A,1
,,24,124,aglB,5M_CM_uracil,A,2
,,25,125,aglB,5M_CM_uracil,A,3
,,26,126,ura3,CM_uracil,B,1
,,27,127,ura3,CM_uracil,B,2
,,28,128,ura3,CM_uracil,B,3
,,29,129,aglB,CM_uracil,B,1
,,30,130,blank,CM_uracil,,
,,31,131,blank,CM_uracil,,
,,32,132,aglB,CM_uracil,B,2
,,33,133,aglB,CM_uracil,B,3
,,34,134,ura3,5M_CM_uracil,B,1
,,35,135,ura3,5M_CM_uracil,B,2
,,36,136,ura3,5M_CM_uracil,B,3
,,37,137,aglB,5M_CM_uracil,B,1
,,38,138,aglB,5M_CM_uracil,B,2
,,39,139,aglB,5M_CM_uracil,B,3
,,40,140,blank,CM_uracil,,
,,41,141,blank,CM_uracil,,
,,42,142,ura3,CM_uracil,C,1
,,43,143,ura3,CM_uracil,C,2
,,44,144,ura3,CM_uracil,C,3
,,45,145,aglB,CM_uracil,C,1
,,46,146,aglB,CM_uracil,C,2
,,47,147,aglB,CM_uracil,C,3
,,48,148,ura3,5M_CM_uracil,C,1
,,49,149,ura3,5M_CM_uracil,C,2
,,50,150,blank,CM_uracil,C,
,,51,151,blank,5M_CM_uracil,,
,,52,152,ura3,5M_CM_uracil,C,3
,,53,153,aglB,5M_CM_uracil,C,1
,,54,154,aglB,5M_CM_uracil,C,2
,,55,155,aglB,5M_CM_uracil,C,3
,,56,156,ura3,CM_uracil,D,1
,,57,157,ura3,CM_uracil,D,2
,,58,158,ura3,CM_uracil,D,3
,,59,159,aglB,CM_uracil,D,1
,,60,160,blank,5M_CM_uracil,,
,,61,161,blank,5M_CM_uracil,,
,,62,162,aglB,CM_uracil,D,2
,,63,163,aglB,CM_uracil,D,3
,,64,164,ura3,5M_CM_uracil,D,1
,,65,165,ura3,5M_CM_uracil,D,2
,,66,166,ura3,5M_CM_uracil,D,3
,,67,167,aglB,5M_CM_uracil,D,1
,,68,168,aglB,5M_CM_uracil,D,2
,,69,169,aglB,5M_CM_uracil,D,3
,,70,170,blank,5M_CM_uracil,,
,,71,171,blank,5M_CM_uracil,,
,,72,172,ura3,CM_uracil,E,1
,,73,173,ura3,CM_uracil,E,2
,,74,174,ura3,CM_uracil,E,3
,,75,175,aglB,CM_uracil,E,1
,,76,176,aglB,CM_uracil,E,2
,,77,177,aglB,CM_uracil,E,3
,,78,178,ura3,5M_CM_uracil,E,1
,,79,179,ura3,5M_CM_uracil,E,2
,,80,180,blank,5M_CM_uracil,,
,,81,181,blank,5M_CM_uracil,,
,,82,182,ura3,5M_CM_uracil,E,3
,,83,183,aglB,5M_CM_uracil,E,1
,,84,184,aglB,5M_CM_uracil,E,2
,,85,185,aglB,5M_CM_uracil,E,3
,,86,186,blank,CM_uracil,,
,,87,187,blank,CM_uracil,,
,,88,188,blank,CM_uracil,,
,,89,189,blank,CM_uracil,,
,,90,190,blank,5M_CM_uracil,,
,,91,191,blank,5M_CM_uracil,,
,,92,192,blank,5M_CM_uracil,,
,,93,193,blank,5M_CM_uracil,,
,,94,194,blank,5M_CM_uracil,,
,,95,195,blank,5M_CM_uracil,,
,,96,196,blank,5M_CM_uracil,,
,,97,197,blank,5M_CM_uracil,,
,,98,198,blank,5M_CM_uracil,,
,,99,199,blank,5M_CM_uracil,,
,,100,200,blank,5M_CM_uracil,,
