"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
0	0.126	"ura3"	"CM_uracil"	"A"	1
0.501666666666667	0.142	"ura3"	"CM_uracil"	"A"	1
1.00166666666667	0.122	"ura3"	"CM_uracil"	"A"	1
1.50166666666667	0.138	"ura3"	"CM_uracil"	"A"	1
2.00166666666667	0.14	"ura3"	"CM_uracil"	"A"	1
2.50166666666667	0.135	"ura3"	"CM_uracil"	"A"	1
3.00166666666667	0.137	"ura3"	"CM_uracil"	"A"	1
3.50166666666667	0.141	"ura3"	"CM_uracil"	"A"	1
4.00166666666667	0.137	"ura3"	"CM_uracil"	"A"	1
4.50166666666667	0.13	"ura3"	"CM_uracil"	"A"	1
5.00166666666667	0.135	"ura3"	"CM_uracil"	"A"	1
5.50166666666667	0.135	"ura3"	"CM_uracil"	"A"	1
6.00166666666667	0.138	"ura3"	"CM_uracil"	"A"	1
6.50166666666667	0.155	"ura3"	"CM_uracil"	"A"	1
7.00166666666667	0.149	"ura3"	"CM_uracil"	"A"	1
7.50166666666667	0.15	"ura3"	"CM_uracil"	"A"	1
8.00166666666667	0.146	"ura3"	"CM_uracil"	"A"	1
8.50166666666667	0.145	"ura3"	"CM_uracil"	"A"	1
9.00166666666667	0.146	"ura3"	"CM_uracil"	"A"	1
9.50166666666667	0.157	"ura3"	"CM_uracil"	"A"	1
10.0016666666667	0.154	"ura3"	"CM_uracil"	"A"	1
10.5016666666667	0.162	"ura3"	"CM_uracil"	"A"	1
11.0016666666667	0.18	"ura3"	"CM_uracil"	"A"	1
11.5016666666667	0.156	"ura3"	"CM_uracil"	"A"	1
12.0016666666667	0.175	"ura3"	"CM_uracil"	"A"	1
12.5016666666667	0.176	"ura3"	"CM_uracil"	"A"	1
13.0016666666667	0.178	"ura3"	"CM_uracil"	"A"	1
13.5016666666667	0.177	"ura3"	"CM_uracil"	"A"	1
14.0016666666667	0.193	"ura3"	"CM_uracil"	"A"	1
14.5016666666667	0.206	"ura3"	"CM_uracil"	"A"	1
15.0016666666667	0.208	"ura3"	"CM_uracil"	"A"	1
15.5016666666667	0.215	"ura3"	"CM_uracil"	"A"	1
16.0016666666667	0.221	"ura3"	"CM_uracil"	"A"	1
